Time[s],prob_unbind,alt_integrin_force[pN],alt_work_done[pN]
0.01,0.00170944,0.101271,0.00724261
0.02,0.00343774,0.203045,0.0289369
0.03,0.00518517,0.305313,0.0652429
0.04,0.00695201,0.408069,0.116316
0.05,0.00873854,0.511304,0.182305
0.06,0.0105451,0.615012,0.263355
0.07,0.0123718,0.719186,0.359605
0.08,0.0142192,0.823817,0.471191
0.09,0.0160874,0.928901,0.598241
0.1,0.0179767,1.03443,0.740879
0.11,0.0198875,1.14039,0.899224
0.12,0.02182,1.24679,1.07339
0.13,0.0237746,1.35361,1.26349
0.14,0.0257515,1.46085,1.46962
0.15,0.027751,1.5685,1.69188
0.16,0.0297735,1.67656,1.93038
0.17,0.0318192,1.78501,2.18518
0.18,0.0338886,1.89386,2.45639
0.19,0.0359818,2.00309,2.74408
0.2,0.0380992,2.1127,3.04831
0.21,0.0402411,2.22269,3.36917
0.22,0.0424079,2.33304,3.70671
0.23,0.0445998,2.44376,4.061
0.24,0.0468172,2.55483,4.43208
0.25,0.0490603,2.66625,4.82
0.26,0.0513296,2.77802,5.22482
0.27,0.0536254,2.89012,5.64656
0.28,0.0559479,3.00255,6.08527
0.29,0.0582975,3.11531,6.54096
0.3,0.0606745,3.22838,7.01366
0.31,0.0630793,3.34177,7.5034
0.32,0.0655122,3.45546,8.01018
0.33,0.0679734,3.56945,8.53401
0.34,0.0704634,3.68373,9.07489
0.35,0.0729825,3.79829,9.63282
0.36,0.075531,3.91313,10.2078
0.37,0.0781092,4.02823,10.7998
0.38,0.0807174,4.14359,11.4088
0.39,0.083356,4.2592,12.0348
0.4,0.0860253,4.37504,12.6777
0.41,0.0887257,4.49112,13.3376
0.42,0.0914573,4.60741,14.0143
0.43,0.0942206,4.7239,14.7078
0.44,0.0970158,4.84058,15.4181
0.45,0.0998433,4.95744,16.1451
0.46,0.102703,5.07445,16.8887
0.47,0.105596,5.1916,17.6488
0.48,0.108522,5.30887,18.4255
0.49,0.111481,5.42623,19.2184
0.5,0.114474,5.54367,20.0276
0.51,0.117501,5.66114,20.853
0.52,0.120562,5.77863,21.6944
0.53,0.123657,5.89609,22.5516
0.54,0.126786,6.01348,23.4246
0.55,0.129951,6.13076,24.3131
0.56,0.13315,6.24788,25.217
0.57,0.136383,6.36478,26.1361
0.58,0.139652,6.4814,27.0702
0.59,0.142955,6.59766,28.019
0.6,0.146293,6.71347,28.9823
0.61,0.149666,6.82876,29.9598
0.62,0.153074,6.9434,30.9513
0.63,0.156516,7.05728,31.9564
0.64,0.159992,7.17027,32.9746
0.65,0.163501,7.2822,34.0057
0.66,0.167043,7.39291,35.0493
0.67,0.170618,7.50219,36.1047
0.68,0.174224,7.60982,37.1715
0.69,0.17786,7.71555,38.2492
0.7,0.181526,7.81909,39.3371
0.71,0.18522,7.9201,40.4344
0.72,0.18894,8.01823,41.5404
0.73,0.192685,8.11305,42.6544
0.74,0.196451,8.20408,43.7752
0.75,0.200238,8.2908,44.902
0.76,0.204042,8.37261,46.0336
0.77,0.207859,8.44882,47.1688
0.78,0.211687,8.51868,48.3062
0.79,0.21552,8.58134,49.4445
0.8,0.219355,8.63585,50.582
0.81,0.223187,8.68115,51.7172
0.82,0.227009,8.71609,52.8483
0.83,0.230817,8.73941,53.9733
0.84,0.234603,8.74972,55.0904
0.85,0.238361,8.7456,56.1975
0.86,0.242084,8.72551,57.2926
0.87,0.245765,8.68796,58.3738
0.88,0.249396,8.63149,59.439
0.89,0.25297,8.55484,60.4865
0.9,0.256481,8.45706,61.5145
0.91,0.259922,8.33776,62.5218
0.92,0.263288,8.1973,63.5074
0.93,0.266577,8.03713,64.4706
0.94,0.269786,7.86007,65.4115
0.95,0.272914,7.67056,66.3305
0.96,0.275965,7.47472,67.2288
0.97,0.278942,7.28023,68.1081
0.98,0.281852,7.09583,68.9706
0.99,0.284704,6.93039,69.819
1,0.287505,6.79176,70.6562
1.01,0.290268,6.68557,71.4853
1.02,0.293002,6.6143,72.3092
1.03,0.295717,6.57701,73.1307
1.04,0.298421,6.56978,73.952
1.05,0.301122,6.58673,74.7749
1.06,0.303824,6.6213,75.6007
1.07,0.306531,6.66745,76.4303
1.08,0.309245,6.7204,77.2641
1.09,0.311968,6.77683,78.1024
1.1,0.314699,6.83475,78.9452
1.11,0.317439,6.89313,79.7924
1.12,0.320188,6.9515,80.644
1.13,0.322945,7.00968,81.4998
1.14,0.325711,7.06758,82.3598
1.15,0.328485,7.12518,83.2238
1.16,0.331267,7.18243,84.0916
1.17,0.334058,7.23932,84.9633
1.18,0.336856,7.29579,85.8385
1.19,0.339661,7.35183,86.7173
1.2,0.342474,7.40738,87.5993
1.21,0.345293,7.46242,88.4846
1.22,0.348119,7.5169,89.3729
1.23,0.350952,7.57077,90.264
1.24,0.35379,7.62398,91.1578
1.25,0.356634,7.67648,92.0542
1.26,0.359483,7.72822,92.9528
1.27,0.362338,7.77913,93.8537
1.28,0.365196,7.82916,94.7564
1.29,0.368059,7.87824,95.661
1.3,0.370925,7.9263,96.567
1.31,0.373794,7.97326,97.4744
1.32,0.376665,8.01905,98.3829
1.33,0.379539,8.06358,99.2923
1.34,0.382413,8.10676,100.202
1.35,0.385288,8.14851,101.113
1.36,0.388164,8.18873,102.023
1.37,0.391038,8.22731,102.933
1.38,0.393911,8.26415,103.843
1.39,0.396782,8.29914,104.753
1.4,0.39965,8.33216,105.661
1.41,0.402514,8.3631,106.568
1.42,0.405373,8.39182,107.473
1.43,0.408227,8.41822,108.377
1.44,0.411074,8.44215,109.279
1.45,0.413913,8.46348,110.178
1.46,0.416744,8.48209,111.074
1.47,0.419566,8.49785,111.967
1.48,0.422377,8.51062,112.856
1.49,0.425177,8.52029,113.742
1.5,0.427963,8.52673,114.624
1.51,0.430737,8.52984,115.502
1.52,0.433495,8.52952,116.375
1.53,0.436238,8.5257,117.243
1.54,0.438964,8.51831,118.105
1.55,0.441673,8.50732,118.963
1.56,0.444363,8.49272,119.814
1.57,0.447033,8.47454,120.66
1.58,0.449683,8.45285,121.5
1.59,0.452312,8.42777,122.333
1.6,0.45492,8.39947,123.16
1.61,0.457506,8.36816,123.981
1.62,0.460069,8.33414,124.795
1.63,0.46261,8.29776,125.602
1.64,0.465128,8.25945,126.403
1.65,0.467623,8.21968,127.198
1.66,0.470095,8.179,127.986
1.67,0.472545,8.13804,128.769
1.68,0.474974,8.09745,129.545
1.69,0.477381,8.05792,130.316
1.7,0.479769,8.02015,131.081
1.71,0.482137,7.98486,131.841
1.72,0.484487,7.95271,132.596
1.73,0.48682,7.92434,133.348
1.74,0.489138,7.90028,134.095
1.75,0.491441,7.88097,134.838
1.76,0.493732,7.86673,135.579
1.77,0.49601,7.85774,136.316
1.78,0.498279,7.85403,137.051
1.79,0.500539,7.85548,137.784
1.8,0.502791,7.86186,138.516
1.81,0.505037,7.87278,139.245
